ID,REGION_PARENT,REGION_CHILD,NX,NY
1,서울특별시,종로구,60,127
2,서울특별시,중구,60,127
3,서울특별시,용산구,60,126
4,서울특별시,성동구,61,127
5,서울특별시,광진구,62,126
6,서울특별시,동대문구,61,127
7,서울특별시,중랑구,62,128
8,서울특별시,성북구,61,127
9,서울특별시,강북구,61,128
10,서울특별시,도봉구,61,129
11,서울특별시,노원구,61,129
12,서울특별시,은평구,59,127
13,서울특별시,서대문구,59,127
14,서울특별시,마포구,59,127
15,서울특별시,양천구,58,126
16,서울특별시,강서구,58,126
17,서울특별시,구로구,58,125
18,서울특별시,금천구,59,124
19,서울특별시,영등포구,58,126
20,서울특별시,동작구,59,125
21,서울특별시,관악구,59,125
22,서울특별시,서초구,61,125
23,서울특별시,강남구,61,126
24,서울특별시,송파구,62,126
25,서울특별시,강동구,62,126
26,부산광역시,중구,97,74
27,부산광역시,서구,97,74
28,부산광역시,동구,98,75
29,부산광역시,영도구,98,74
30,부산광역시,부산진구,97,75
31,부산광역시,동래구,98,76
32,부산광역시,남구,98,75
33,부산광역시,북구,96,76
34,부산광역시,해운대구,99,75
35,부산광역시,사하구,96,74
36,부산광역시,금정구,98,77
37,부산광역시,강서구,96,76
38,부산광역시,연제구,98,76
39,부산광역시,수영구,99,75
40,부산광역시,사상구,96,75
41,부산광역시,기장군,100,77
42,대구광역시,중구,89,90
43,대구광역시,동구,90,91
44,대구광역시,서구,88,90
45,대구광역시,남구,89,90
46,대구광역시,북구,89,91
47,대구광역시,수성구,89,90
48,대구광역시,달서구,88,90
49,대구광역시,달성군,86,88
50,대구광역시,군위군,88,99
51,인천광역시,중구,54,125
52,인천광역시,동구,54,125
53,인천광역시,미추홀구,54,124
54,인천광역시,연수구,55,123
55,인천광역시,남동구,56,124
56,인천광역시,부평구,55,125
57,인천광역시,계양구,56,126
58,인천광역시,서구,55,126
59,인천광역시,강화군,51,130
60,인천광역시,옹진군,54,124
61,광주광역시,동구,60,74
62,광주광역시,서구,59,74
63,광주광역시,남구,59,73
64,광주광역시,북구,59,75
65,광주광역시,광산구,57,74
66,대전광역시,동구,68,100
67,대전광역시,중구,68,100
68,대전광역시,서구,67,100
69,대전광역시,유성구,67,101
70,대전광역시,대덕구,68,100
71,울산광역시,중구,102,84
72,울산광역시,남구,102,84
73,울산광역시,동구,104,83
74,울산광역시,북구,103,85
75,울산광역시,울주군,101,84
76,세종특별자치시,세종특별자치시,66,103
77,경기도,수원시장안구,60,121
78,경기도,수원시권선구,60,120
79,경기도,수원시팔달구,61,121
80,경기도,수원시영통구,61,120
81,경기도,성남시수정구,63,124
82,경기도,성남시중원구,63,124
83,경기도,성남시분당구,62,123
84,경기도,의정부시,61,130
85,경기도,안양시만안구,59,123
86,경기도,안양시동안구,59,123
87,경기도,부천시원미구,57,125
88,경기도,부천시소사구,57,125
89,경기도,부천시오정구,57,126
90,경기도,광명시,58,125
91,경기도,평택시,62,114
92,경기도,동두천시,61,134
93,경기도,안산시상록구,58,121
94,경기도,안산시단원구,57,121
95,경기도,고양시덕양구,57,128
96,경기도,고양시일산동구,56,129
97,경기도,고양시일산서구,56,129
98,경기도,과천시,60,124
99,경기도,구리시,62,127
100,경기도,남양주시,64,128
101,경기도,오산시,62,118
102,경기도,시흥시,57,123
103,경기도,군포시,59,122
104,경기도,의왕시,60,122
105,경기도,하남시,64,126
106,경기도,용인시처인구,64,119
107,경기도,용인시기흥구,62,120
108,경기도,용인시수지구,62,121
109,경기도,파주시,56,131
110,경기도,이천시,68,121
111,경기도,안성시,65,115
112,경기도,김포시,55,128
113,경기도,화성시,57,119
114,경기도,광주시,65,123
115,경기도,양주시,61,131
116,경기도,포천시,64,134
117,경기도,여주시,71,121
118,경기도,연천군,61,138
119,경기도,가평군,69,133
120,경기도,양평군,69,125
121,충청북도,청주시상당구,69,106
122,충청북도,청주시서원구,69,107
123,충청북도,청주시흥덕구,67,106
124,충청북도,청주시청원구,69,107
125,충청북도,충주시,76,114
126,충청북도,제천시,81,118
127,충청북도,보은군,73,103
128,충청북도,옥천군,71,99
129,충청북도,영동군,74,97
130,충청북도,증평군,71,110
131,충청북도,진천군,68,111
132,충청북도,괴산군,74,111
133,충청북도,음성군,72,113
134,충청북도,단양군,84,115
135,충청남도,천안시동남구,63,110
136,충청남도,천안시서북구,63,112
137,충청남도,공주시,63,102
138,충청남도,보령시,54,100
139,충청남도,아산시,60,110
140,충청남도,서산시,51,110
141,충청남도,논산시,62,97
142,충청남도,계룡시,65,99
143,충청남도,당진시,54,112
144,충청남도,금산군,69,95
145,충청남도,부여군,59,99
146,충청남도,서천군,55,94
147,충청남도,청양군,57,103
148,충청남도,홍성군,55,106
149,충청남도,예산군,58,107
150,충청남도,태안군,48,109
151,전라남도,목포시,50,67
152,전라남도,여수시,73,66
153,전라남도,순천시,70,70
154,전라남도,나주시,56,71
155,전라남도,광양시,73,70
156,전라남도,담양군,61,78
157,전라남도,곡성군,66,77
158,전라남도,구례군,69,75
159,전라남도,고흥군,66,62
160,전라남도,보성군,62,66
161,전라남도,화순군,61,72
162,전라남도,장흥군,59,64
163,전라남도,강진군,57,63
164,전라남도,해남군,54,61
165,전라남도,영암군,56,66
166,전라남도,무안군,52,71
167,전라남도,함평군,52,72
168,전라남도,영광군,52,77
169,전라남도,장성군,57,77
170,전라남도,완도군,57,56
171,전라남도,진도군,48,59
172,전라남도,신안군,50,66
173,경상북도,포항시남구,102,94
174,경상북도,포항시북구,102,95
175,경상북도,경주시,100,91
176,경상북도,김천시,80,96
177,경상북도,안동시,91,106
178,경상북도,구미시,84,96
